Name,Age,Gender,Email,Phone No.,Programming_Skills,Coding_Skills_Years,Job_Experience_NumCompanies,Previous_Salary,Desired_Salary,Projects,Internships,Education,Gap_Years,Shortlisting_class
Eshana Kala,49,Female,eshana.kala16@yahoo.com,8627483023,1,0,1,312702,549187,4,1,MSc,2,Rejected
Kamya Subramanian,31,Female,kamya.subramanian83@outlook.com,6769009342,3,0,2,401346,649408,0,0,MCA,0,Shortlisted
Krishna Bhandari,38,Male,krishna.bhandari18@outlook.com,6953657758,0,0,1,207014,413998,2,0,Diploma,3,Rejected
Chakradev Kurian,41,Male,chakradev.kurian27@yahoo.com,8814594842,6,9,2,1299390,1651709,8,5,BSc Computer Science,0,Shortlisted
Isaac Nadkarni,46,Male,isaac.nadkarni95@yahoo.com,7888287769,3,3,0,544571,921086,1,0,B.E.,0,Rejected
Anya Sen,40,Female,anya.sen73@yahoo.com,7421078992,6,14,3,4172396,5806584,9,4,B.E.,0,Shortlisted
Devika Modi,44,Female,devika.modi35@outlook.com,8744219985,6,8,5,4076019,5676755,9,2,MCA,0,Shortlisted
Neelima Goda,22,Female,neelima.goda73@outlook.com,8347353078,4,12,5,3577236,4751108,19,4,M.Tech,0,Shortlisted
Vedhika Swaminathan,35,Female,vedhika.swaminathan84@gmail.com,8642525004,0,0,0,326228,499018,1,0,Diploma,0,Rejected
Riya Subramanian,22,Female,riya.subramanian82@gmail.com,9937336378,0,2,0,281177,471522,4,1,Diploma,1,Rejected
Vihaan Vala,44,Male,vihaan.vala94@outlook.com,6523434733,7,10,2,3463780,4837905,5,1,BSc Computer Science,0,Shortlisted
Idika Devi,45,Female,idika.devi57@outlook.com,9660322060,4,14,2,1924963,2141584,17,1,B.E.,1,Shortlisted
Advik Devi,52,Male,advik.devi37@outlook.com,6759293982,0,2,1,87247,126255,0,1,B.E.,0,Rejected
Qarin Gupta,31,Male,qarin.gupta28@gmail.com,8646912517,0,2,0,632983,835944,4,0,MBA,1,Shortlisted
Vyanjana Balay,32,Female,vyanjana.balay26@gmail.com,9223525099,0,0,1,63586,106684,4,0,Diploma,1,Rejected
Gavin Dhar,25,Male,gavin.dhar95@gmail.com,6392415488,3,3,0,380171,741906,2,0,MCA,2,Rejected
Tejas Merchant,26,Male,tejas.merchant83@outlook.com,8366004024,0,2,0,487889,813075,0,0,M.Tech,2,Rejected
Pahal Shanker,33,Female,pahal.shanker49@yahoo.com,6186884104,8,6,5,4024010,4725812,11,1,B.E.,0,Shortlisted
Aayush Raju,27,Male,aayush.raju33@outlook.com,9972593782,10,4,4,2002649,2466784,5,2,M.Tech,1,Shortlisted
Agastya Dora,39,Male,agastya.dora96@yahoo.com,6926011457,10,5,5,1743130,2176993,13,4,BSc Computer Science,0,Shortlisted
Janya Magar,43,Female,janya.magar67@yahoo.com,7912953445,5,13,3,1335833,1727182,12,3,B.E.,0,Shortlisted
Mekhala Butala,27,Female,mekhala.butala3@gmail.com,6503102235,5,7,4,4402125,6037878,8,4,MCA,0,Shortlisted
Abhimanyu Pradhan,54,Male,abhimanyu.pradhan74@gmail.com,7937940886,4,6,4,3254708,3708831,16,1,B.E.,0,Shortlisted
Adya Ahluwalia,54,Female,adya.ahluwalia17@outlook.com,8550928859,4,4,4,3936212,5149833,12,5,B.E.,0,Shortlisted
Faras Bedi,28,Male,faras.bedi43@yahoo.com,9712981794,1,3,1,981320,1618302,4,0,Diploma,0,Shortlisted
Omkaar Vaidya,44,Male,omkaar.vaidya75@outlook.com,7815780062,2,2,0,320735,402647,2,0,MBA,2,Rejected
Ikshita Dada,51,Female,ikshita.dada91@yahoo.com,9500569333,3,4,3,3987674,5141882,18,4,MCA,0,Shortlisted
Xalak Balay,33,Female,xalak.balay29@gmail.com,9519055304,2,0,2,8124,12731,1,0,B.E.,3,Rejected
Zayyan Sethi,44,Male,zayyan.sethi73@gmail.com,7817513095,7,15,5,2831860,3830487,6,2,B.E.,0,Shortlisted
Saanvi Krish,37,Female,saanvi.krish9@yahoo.com,6321649462,10,7,2,2368385,2670763,13,4,MCA,0,Shortlisted
Upasna Nadkarni,47,Female,upasna.nadkarni82@outlook.com,7374063864,7,5,4,4254174,5091230,9,2,B.E.,0,Shortlisted
Ishita Dhingra,21,Female,ishita.dhingra87@gmail.com,7671065565,1,2,2,232849,333994,4,0,MBA,0,Rejected
Pahal Lad,27,Female,pahal.lad93@outlook.com,6405210240,2,1,0,915554,1677813,2,1,Diploma,4,Rejected
Elijah Kumer,51,Male,elijah.kumer83@yahoo.com,6335211274,3,3,1,660758,1209387,2,0,MBA,1,Shortlisted
Faraj Agrawal,34,Male,faraj.agrawal35@gmail.com,9508462365,0,0,0,481376,742877,1,1,Diploma,2,Rejected
Hemangini Sethi,48,Female,hemangini.sethi41@gmail.com,9772104653,6,11,4,1220892,1517544,12,5,B.E.,0,Shortlisted
Yachana Madan,27,Female,yachana.madan18@yahoo.com,8766247943,3,13,4,2855644,3726173,16,2,B.E.,0,Shortlisted
Frederick Kumer,53,Male,frederick.kumer33@outlook.com,8300867815,2,1,1,542769,863459,4,1,MSc,3,Rejected
Bakhshi Verma,50,Male,bakhshi.verma53@outlook.com,9927665585,3,15,5,922981,1019371,6,3,M.Tech,0,Shortlisted
Ansh Dey,54,Male,ansh.dey10@gmail.com,6385813193,1,2,0,674773,1181752,0,1,BSc Computer Science,0,Rejected
Nicholas Chauhan,22,Male,nicholas.chauhan76@outlook.com,8876521794,3,13,5,2541086,3248343,16,5,M.Tech,1,Shortlisted
Shivansh Behl,32,Male,shivansh.behl36@yahoo.com,8991174852,2,2,1,791790,1359337,3,1,BCA,3,Rejected
Jalsa Madan,45,Female,jalsa.madan38@outlook.com,8282270505,9,14,4,1843225,2108424,8,1,M.Tech,1,Shortlisted
Geetika Kant,33,Female,geetika.kant91@yahoo.com,7460105142,10,8,2,1599301,1885471,7,2,M.Tech,0,Shortlisted
Unni Hari,36,Female,unni.hari30@gmail.com,7700199798,2,2,2,791905,1246415,2,1,BCA,3,Rejected
Onkar Nori,30,Male,onkar.nori80@yahoo.com,6352677386,7,5,5,2566365,3277923,16,2,B.E.,0,Shortlisted
Reyansh Kalita,29,Male,reyansh.kalita64@yahoo.com,9804220046,4,15,3,2678282,3714139,12,3,M.Tech,0,Shortlisted
Geetika Devan,44,Female,geetika.devan47@outlook.com,6313610106,3,14,5,2143403,2676513,20,3,M.Tech,0,Rejected
Anusha Srinivas,23,Female,anusha.srinivas28@outlook.com,7225238190,1,0,1,844298,1024353,4,1,BCA,1,Rejected
Samesh Rama,42,Male,samesh.rama33@yahoo.com,9851006932,1,2,1,671557,1179089,1,1,MCA,0,Shortlisted
Amruta Gade,37,Female,amruta.gade78@outlook.com,6233181667,0,0,2,125414,219647,1,1,BCA,1,Rejected
Frederick Palan,46,Male,frederick.palan85@outlook.com,8637822329,2,1,1,35542,47478,4,0,BCA,0,Rejected
Lakshit Verma,41,Male,lakshit.verma78@outlook.com,7533382080,3,9,4,1417917,1716163,20,3,B.E.,0,Shortlisted
Hritik Dugar,43,Male,hritik.dugar51@yahoo.com,6782111963,1,3,2,248034,378338,1,1,BCA,4,Rejected
Adweta Kara,37,Female,adweta.kara40@outlook.com,9734007355,3,0,2,461950,739884,2,0,BSc Computer Science,1,Rejected
Janani Pingle,24,Female,janani.pingle84@yahoo.com,8784462097,1,0,1,251365,342134,3,1,B.E.,3,Rejected
Balvan Pingle,35,Male,balvan.pingle91@yahoo.com,6942832030,1,2,0,228070,303957,1,1,MCA,0,Rejected
Yauvani Gole,42,Female,yauvani.gole79@yahoo.com,6980711486,8,15,5,3360871,4347126,6,2,B.E.,0,Shortlisted
Ayaan De,21,Male,ayaan.de74@yahoo.com,7244586203,0,3,2,335224,563248,0,0,M.Tech,0,Rejected
Watika Edwin,22,Female,watika.edwin76@outlook.com,8660375402,2,2,2,23660,43605,2,1,MBA,4,Rejected
Kabir Dar,46,Male,kabir.dar82@gmail.com,9984107719,2,0,0,853912,1417650,0,1,B.E.,3,Shortlisted
Waida Shetty,41,Female,waida.shetty53@outlook.com,9992022315,0,3,2,93192,177438,1,0,BCA,0,Rejected
Bhavini Choudhary,40,Female,bhavini.choudhary1@gmail.com,8298637303,9,5,2,891917,996095,19,4,BSc Computer Science,0,Shortlisted
Mugdha Konda,30,Female,mugdha.konda44@yahoo.com,8503251951,7,4,2,3951468,4617103,6,3,B.E.,0,Shortlisted
Laban Mohan,34,Male,laban.mohan30@outlook.com,8734602410,5,4,3,3618764,4881298,16,2,M.Tech,0,Shortlisted
Krisha Vora,26,Female,krisha.vora77@outlook.com,8928114916,3,1,1,972763,1390531,3,0,BCA,2,Rejected
Mekhala Dyal,43,Female,mekhala.dyal42@gmail.com,6850375769,6,7,5,2583857,3110736,12,1,BSc Computer Science,0,Shortlisted
Idika Mall,24,Female,idika.mall33@yahoo.com,6115713008,3,0,0,100291,158215,4,1,MSc,3,Rejected
Vihaan Mohanty,48,Male,vihaan.mohanty89@yahoo.com,7505502416,9,6,3,3589830,4638645,20,3,MCA,0,Shortlisted
Falguni Sachdeva,33,Female,falguni.sachdeva22@gmail.com,9521914207,4,4,2,1648706,2211824,8,5,M.Tech,0,Shortlisted
Hredhaan Sarkar,30,Male,hredhaan.sarkar28@gmail.com,9396224385,6,4,3,1242298,1545721,7,4,M.Tech,0,Shortlisted
Tanveer Bora,51,Male,tanveer.bora83@yahoo.com,9619608964,3,12,4,1719067,1979326,10,2,B.E.,0,Shortlisted
Azad Mistry,28,Male,azad.mistry20@yahoo.com,9181652080,0,2,2,72128,99752,2,0,BCA,2,Rejected
Lekha Mukhopadhyay,46,Female,lekha.mukhopadhyay25@yahoo.com,7577517746,3,12,2,3718549,4613519,20,2,B.E.,1,Shortlisted
Megha Wali,39,Female,megha.wali17@gmail.com,8392787958,1,3,2,414168,650803,1,0,BCA,3,Rejected
Manthan Bava,40,Male,manthan.bava1@yahoo.com,9206216960,5,5,2,2514522,3220041,9,3,B.E.,1,Shortlisted
Aarush Wable,51,Male,aarush.wable95@yahoo.com,9642538587,7,11,2,4496644,5882736,16,1,M.Tech,0,Shortlisted
Nimrat Deshpande,49,Female,nimrat.deshpande94@yahoo.com,7698464700,10,11,4,4388914,5124879,20,3,MCA,0,Shortlisted
Alka Pillay,23,Female,alka.pillay10@gmail.com,9160792112,3,3,2,238914,339585,4,1,BCA,1,Rejected
Xiti Ben,32,Female,xiti.ben86@yahoo.com,8586547873,9,11,3,1320527,1578474,10,5,B.E.,0,Shortlisted
Jagat Muni,45,Male,jagat.muni82@outlook.com,7717213250,0,0,2,84363,133314,4,1,BCA,3,Rejected
Anika Kibe,27,Female,anika.kibe4@outlook.com,9891901211,3,0,0,802797,1545681,3,0,MBA,3,Rejected
Noah Biswas,27,Male,noah.biswas94@outlook.com,8317003917,6,4,5,2302370,2834315,14,3,M.Tech,0,Shortlisted
Aarnav Bir,34,Male,aarnav.bir26@yahoo.com,9904094998,4,10,5,1647113,2009427,10,4,M.Tech,0,Shortlisted
Guneet Kuruvilla,46,Male,guneet.kuruvilla8@yahoo.com,7545573505,1,3,1,832233,1291438,4,0,M.Tech,1,Rejected
Netra Aurora,46,Female,netra.aurora83@gmail.com,7538790253,4,8,2,3860553,4662089,17,2,MCA,0,Shortlisted
Rudra Balakrishnan,44,Male,rudra.balakrishnan24@gmail.com,9160723373,1,0,1,247349,426080,3,0,MSc,0,Rejected
Hema Mallick,30,Female,hema.mallick89@gmail.com,6296652610,4,9,3,4116442,4931981,20,3,M.Tech,0,Shortlisted
Lila Varma,24,Female,lila.varma5@outlook.com,9189978762,0,1,1,768059,1336116,2,0,Diploma,0,Rejected
Neha Deo,35,Female,neha.deo56@gmail.com,8847998675,1,2,1,379850,721787,2,1,BSc Computer Science,0,Rejected
Balvan Bala,24,Male,balvan.bala47@outlook.com,8959793855,5,12,2,1742736,2317231,10,4,B.E.,0,Shortlisted
Simon Dasgupta,40,Male,simon.dasgupta93@yahoo.com,8152087356,2,2,1,562962,697239,2,1,MCA,1,Rejected
Shivansh Kamdar,28,Male,shivansh.kamdar38@yahoo.com,9960185516,6,14,5,965661,1109101,19,3,BSc Computer Science,0,Shortlisted
Fiyaz Kade,23,Male,fiyaz.kade76@gmail.com,8627565651,9,10,2,1679232,2027552,15,3,MCA,0,Shortlisted
Lavanya Brahmbhatt,27,Female,lavanya.brahmbhatt79@yahoo.com,6280196364,2,3,2,407778,525366,4,0,M.Tech,3,Rejected
Yatin Tripathi,27,Male,yatin.tripathi72@yahoo.com,9289167377,1,1,2,715073,1410699,1,0,BSc Computer Science,4,Rejected
Bhanumati Wadhwa,49,Female,bhanumati.wadhwa83@gmail.com,7489636149,10,5,2,3290069,4038373,15,4,B.E.,0,Shortlisted
Chavvi Kamdar,48,Female,chavvi.kamdar97@outlook.com,7606047839,3,1,1,605063,739074,0,0,MCA,2,Rejected
Shivansh Pathak,52,Male,shivansh.pathak29@yahoo.com,7675109771,5,5,4,2300402,3014552,10,3,BSc Computer Science,0,Shortlisted
Anusha Parmer,48,Female,anusha.parmer96@gmail.com,7751980975,7,11,5,4084791,5709429,10,2,B.E.,0,Shortlisted
Saksham Yohannan,37,Male,saksham.yohannan52@outlook.com,8284132282,6,10,5,3555898,4804564,17,3,BSc Computer Science,0,Shortlisted
Dayamai Natt,44,Female,dayamai.natt85@outlook.com,6875418116,7,12,2,3100727,3889774,8,1,MCA,0,Shortlisted
Pratyush Modi,27,Male,pratyush.modi1@yahoo.com,9477539315,1,2,1,837387,1422745,0,0,MCA,3,Rejected
Wriddhish De,29,Male,wriddhish.de6@gmail.com,8792239932,3,3,1,957057,1181728,4,1,B.E.,2,Rejected
Chatresh Bhavsar,44,Male,chatresh.bhavsar85@gmail.com,9107244619,0,2,2,940824,1360025,1,1,BSc Computer Science,0,Rejected
Turvi Sundaram,33,Female,turvi.sundaram14@yahoo.com,7258326441,3,0,2,461281,643963,3,1,Diploma,3,Rejected
Arya Bava,32,Female,arya.bava44@yahoo.com,6192134953,7,4,5,3308821,4462875,10,4,B.E.,0,Shortlisted
Hardik Bhagat,48,Male,hardik.bhagat39@yahoo.com,8412369892,2,1,0,96881,170442,3,0,B.E.,3,Rejected
Rehaan Bhakta,46,Male,rehaan.bhakta83@gmail.com,6946391708,10,4,3,4092904,5131346,6,5,BSc Computer Science,0,Shortlisted
Atharv Memon,22,Male,atharv.memon51@yahoo.com,9683652751,0,2,0,112457,189367,3,0,MSc,2,Rejected
Theodore Kurian,22,Male,theodore.kurian10@gmail.com,6378456518,3,3,0,419448,810353,0,1,M.Tech,0,Rejected
Michael Sami,26,Male,michael.sami76@outlook.com,8282370597,3,2,1,519767,649270,4,1,MSc,2,Rejected
Warjas Naik,41,Male,warjas.naik11@gmail.com,8352478438,4,13,3,812216,987162,10,5,M.Tech,0,Shortlisted
Frederick Narayan,36,Male,frederick.narayan81@yahoo.com,7729079919,3,0,2,501913,820039,3,0,MBA,1,Shortlisted
Vincent Goel,30,Male,vincent.goel78@outlook.com,9548618161,0,0,0,576220,977220,2,1,Diploma,2,Rejected
Devika Chaudhuri,53,Female,devika.chaudhuri11@outlook.com,7853783286,0,2,0,486815,755765,1,0,MCA,1,Rejected
Ishaan Apte,49,Male,ishaan.apte45@yahoo.com,8124667284,3,0,1,406725,807108,3,0,BCA,4,Rejected
Ekbal Kata,39,Male,ekbal.kata95@gmail.com,8778207077,3,1,2,720357,1000700,3,1,MSc,0,Rejected
Oscar Tara,52,Male,oscar.tara61@yahoo.com,6508690821,10,8,4,1182857,1440027,13,5,B.E.,0,Shortlisted
Veer Bhavsar,42,Male,veer.bhavsar33@outlook.com,7246288386,0,0,2,184165,292932,2,0,BCA,3,Rejected
Aayush Dhingra,51,Male,aayush.dhingra67@gmail.com,9637895749,10,6,4,3230154,4166564,19,3,M.Tech,0,Shortlisted
Faqid Sodhi,38,Male,faqid.sodhi65@yahoo.com,7866530265,2,1,1,298400,561611,3,1,BSc Computer Science,3,Rejected
Baljiwan Dhar,33,Male,baljiwan.dhar1@outlook.com,6670090490,0,1,0,82968,152542,0,1,MBA,0,Rejected
Joshua Date,26,Male,joshua.date83@yahoo.com,7724919537,5,14,4,1380607,1809131,5,5,BSc Computer Science,0,Shortlisted
Naksh Walla,36,Male,naksh.walla61@gmail.com,7906760967,3,3,2,937497,1440050,2,0,BCA,0,Rejected
Daksh Sawhney,36,Male,daksh.sawhney47@gmail.com,6823171579,8,7,5,1673318,2267630,18,5,B.E.,0,Shortlisted
Waida Saini,38,Female,waida.saini67@outlook.com,6101028854,3,11,2,1191446,1347547,8,3,MCA,0,Shortlisted
Yashodhara Agrawal,24,Female,yashodhara.agrawal73@yahoo.com,7781204865,5,10,2,4488202,5527230,18,1,M.Tech,1,Shortlisted
Rajata Dora,40,Female,rajata.dora79@outlook.com,6797114767,7,9,4,970238,1299306,10,1,M.Tech,0,Shortlisted
Ekta Palla,50,Female,ekta.palla79@gmail.com,6456750135,0,1,0,597920,1161370,1,1,M.Tech,0,Rejected
Logan Hegde,25,Male,logan.hegde95@yahoo.com,8391956255,6,7,5,4308208,4791350,8,5,B.E.,0,Shortlisted
Gauri Chaudry,38,Female,gauri.chaudry52@gmail.com,8574509196,9,10,5,2864759,3213519,14,5,B.E.,0,Shortlisted
Udarsh Munshi,33,Male,udarsh.munshi83@outlook.com,6502252673,5,9,4,947923,1297778,13,1,M.Tech,0,Shortlisted
Neelima Loyal,51,Female,neelima.loyal71@outlook.com,6472783246,2,1,1,232469,400826,1,0,B.E.,3,Rejected
